id,device_id,timestamp,is_event,air_temp,air_humid,air_pressure,gas_resistance,iaq,static_iaq,eco2,bvoc,accuracy,food_temp,door1_open,door2_open,batt_voltage,batt_percent,rssi,memory_free,scale1,scale2,scale3,scale4
739,BeaconHill,2026-01-20 00:08:51.967,False,10.28,78.8,10.0,244100.0,46.0,22.0,400.0,0.26,2,0.0,False,False,3.52,1.0,-81,104516,16.17,7.24,11.88,7.7
740,BeaconHill,2026-01-20 00:18:51.977,False,10.57,80.4,10.0,236654.0,40.0,0.0,400.0,0.16,2,0.0,False,False,3.53,1.0,-75,100728,16.17,7.17,11.88,7.64
741,BeaconHill,2026-01-20 00:28:52.007,False,10.31,80.5,10.0,237147.0,50.0,50.0,500.0,0.5,2,0.0,False,False,4.0,11.0,-80,99492,16.15,7.09,11.86,7.64
742,BeaconHill,2026-01-20 00:29:37.310,True,10.31,80.5,10.0,237147.0,50.0,50.0,500.0,0.5,2,0.0,False,True,4.0,11.0,-76,99708,16.15,7.08,11.86,7.64
743,BeaconHill,2026-01-20 00:29:40.920,True,10.31,80.5,10.0,237147.0,50.0,50.0,500.0,0.5,2,0.0,True,True,4.0,11.0,-77,99708,16.16,7.06,11.87,7.61
744,BeaconHill,2026-01-20 00:31:35.020,True,10.14,80.6,10.0,233417.0,55.0,90.0,896.0,1.23,2,0.0,True,False,4.0,11.0,-78,99788,18.72,11.99,13.39,12.79
745,BeaconHill,2026-01-20 00:31:38.567,True,10.14,80.6,10.0,233417.0,55.0,90.0,896.0,1.23,2,0.0,False,False,4.0,11.0,-77,97060,18.72,12.02,13.39,12.85
746,BeaconHill,2026-01-20 00:47:48.847,True,10.31,80.5,10.0,242023.0,50.0,50.0,500.0,0.5,2,0.0,False,True,4.0,11.0,-78,113156,18.56,11.68,13.46,13.31
747,BeaconHill,2026-01-20 00:47:52.800,True,10.31,80.5,10.0,242023.0,50.0,50.0,500.0,0.5,2,0.0,True,True,4.0,11.0,-80,113156,18.57,11.67,13.46,13.29
748,BeaconHill,2026-01-20 00:48:12.053,True,10.31,80.5,10.0,242023.0,50.0,50.0,500.0,0.5,2,0.0,True,False,4.0,11.0,-75,113156,18.56,11.64,13.45,13.13
749,BeaconHill,2026-01-20 00:48:15.790,True,10.31,80.5,10.0,242023.0,50.0,50.0,500.0,0.5,2,0.0,False,False,4.0,11.0,-77,113156,18.57,11.65,13.46,13.15
750,BeaconHill,2026-01-20 01:06:29.220,True,10.07,80.0,10.0,240998.0,58.0,115.0,1151.0,2.19,3,0.0,False,True,3.99,44.0,-79,113180,18.48,11.68,13.48,13.36
751,BeaconHill,2026-01-20 01:08:02.787,True,10.07,80.0,10.0,240998.0,58.0,115.0,1151.0,2.19,3,0.0,False,False,3.99,44.0,-75,113180,18.49,11.6,14.01,13.29
752,BeaconHill,2026-01-20 01:08:06.397,True,10.07,80.0,10.0,240998.0,58.0,115.0,1151.0,2.19,3,0.0,True,False,3.99,44.0,-78,113180,18.5,11.62,13.93,13.3
753,BeaconHill,2026-01-20 01:09:34.347,True,10.07,80.0,10.0,240998.0,58.0,115.0,1151.0,2.19,3,0.0,False,False,3.99,44.0,-77,113180,19.57,10.05,13.5,13.69
